Job Level,Experience Required,Salary
1,1,22500
1,1,22500
1,1,30000
1,1,30000
1,2,37500
1,1,32500
1,1,22500
1,1,32500
1,1,17500
1,1,22500
1,1,17500
1,1,20000
1,1,25000
1,3,40000
1,1,32500
1,1,32500
1,3,40000
1,2,35000
1,1,32500
1,3,37500
1,1,30000
1,2,35000
1,1,22500
1,1,23000
1,1,27500
1,1,23000
1,1,30000
1,1,18500
1,1,25000
1,3,40000
1,3,30000
2,3,45000
2,3,45000
2,3,87500
2,3,40000
2,3,62500
2,3,100000
2,3,42500
2,3,60000
2,3,80000
2,3,70000
2,3,90000
2,3,80000
2,3,66092
2,3,70000
2,3,66092
2,3,67735
2,3,80000
3,3,77500
3,3,50000
3,3,65000
3,3,60000
3,3,65000
3,3,50000
3,3,80000
3,3,60000
3,3,50000
3,3,75000
3,3,50000
3,3,75000
3,3,50000
3,3,60000
3,3,27000
3,3,50000
3,3,22500
3,3,75000
3,3,100000
3,3,37500
3,3,90000
3,3,70000
3,3,30000
3,3,50000
3,3,70000
3,3,90000
3,3,65000
3,3,32500
3,3,77500
3,3,37500
3,3,70000
3,3,32500
3,3,50000
3,3,75000
3,3,50000
3,3,45000
3,3,22500
3,3,100000
3,3,77500
4,3,95000
4,3,103755
4,3,60000
4,3,70000
4,3,150000
4,3,450000
4,3,300000
4,3,450000
