Business name,Address,Phone Number,Rating,Url,Review
Entheos Printing Press,"220D East 8th Avenue, 108, Caloocan City 1403 Metro Manila",+63(02)83645344,5.0  (16),https://www.yellow-pages.ph/business/entheos-printing-press/reviews,"Gave us reasonable quotation price for our business forms which we gladly accept, more power po sa Entheos"
New Wintex Fabrics,"Unit S, Facilities Center, 548, Shaw Boulevard, Highway Hills, Mandaluyong City 1550 Metro Manila",+63(02)85311208,5.0  (8),https://www.yellow-pages.ph/business/new-wintex-fabrics-corporation/reviews,Huge selection of curtains and other fabric materials. Quality products! Look nowhere else!
Hua Seng Canvas & Plastic Corp,"662, Sabino Padilla Street, Binondo, City of Manila 1006  Metro Manila",+63(2)82420060,5.0  (8),https://www.yellow-pages.ph/business/hua-seng-canvas-plastic-corp/reviews,Thanks For offering me great prices for my canvas
Success Mirror City,"204, Antonio Arnaiz Avenue, Pasay City 1300  Metro Manila",+63(2)88315286,5.0  (7),https://www.yellow-pages.ph/business/success-mirror-city/reviews,"Once again, I installed 4 new mirrors from my favorite mirror company. Great workmanship as usual. Reasonable prices. Highly recommended."
Epp Fire Safety And Rescue Products,"4/F, Concord Building, 2584, A. Bonifacio Street, Bangkal, Makati City 1233  Metro Manila",+63(2)88440599,5.0  (7),https://www.yellow-pages.ph/business/epp-fire-safety-and-rescue-products/reviews,This business deserves 5 star review. 
Sherton Industrial,"38 A&B, General Tinio Street, Morning Breeze Subdivision, Caloocan City, Metro Manila",+63(2)83615975,5.0  (6),https://www.yellow-pages.ph/business/sherton-industrial-corporation/reviews,The people are nice and they have nice and affordable beds. Napaka accommodating ng team nila sa main office. =)
S.L. Development Construction,"2/F, Rusland Building, 1932, F. Agoncillo Street, Malate, City of Manila 1004 Metro Manila",+63(02)83531901,5.0  (6),https://www.yellow-pages.ph/business/sl-development-construction-corporation/reviews,The staff was very accommodating!
Puma Spring & Rubber,"141-B, San Rafael Extension, Mandaluyong City 1550  Metro Manila",+63(2)85346951,5.0  (6),https://www.yellow-pages.ph/business/puma-spring-rubber-corporation/reviews,"I am more than pleased to be able to give this recommendation to any potential customers, acknowledging PUMA SPRING & RUBBER CORP. to be one of the ???top??? suppliers we have worked with. The prices and lead times are terrific and when we have start up ideas, you work with us and our budget to get the specifics correct. 2 Thumbs up!"
Quantum,"No. 117, Tirad Pass Street, Bagong Barrio, Caloocan City 1400  Metro Manila",+63(2)83634077,5.0  (5),https://www.yellow-pages.ph/business/quantum-electronics-corporation/reviews,"quality products, approachable staffs, they really attend to what their customers need."
Nova Business Systems,"557 Nueve de Febrero, Barangay Pleasant Hills, Mandaluyong City, Metro Manila",+63(2)85326682,5.0  (5),https://www.yellow-pages.ph/business/nova-business-systems-incorporated-1/reviews,"Nova Business is our company's reliable supplier of business checks, we've been their client for years now. In printing business forms. Nova Business Systems, Inc. is indeed a MUST TRY! :)"
Mannasoft Technology,"2/F, Republic Glass Building, 196 Salcedo Street, Legaspi Village, Makati City 1229 Metro Manila",+63(2)88134162,5.0  (5),https://www.yellow-pages.ph/business/mannasoft-technology-corporation/reviews,There's been a lot of incidences of burglary in our area and we really wanted to make our home more secure. The digilock provided by Mannasoft Technology Corporation. It works really well and is pretty easy to understand and operate.
Solid Business Machines Center,"Singson Building,  Plaza Moraga, Binondo, City of Manila 1006 Metro Manila",+63(2)82421366,5.0  (5),https://www.yellow-pages.ph/business/solid-business-machines-center-incorporated/reviews,very accommodating staff they suggest what you really need
Super Miler Sales,"90,  P. Tuazon Boulevard corner Planas III, Cubao, Quezon City 1109 Metro Manila",+63(2)86542767,5.0  (4),https://www.yellow-pages.ph/business/super-miler-sales-corporation-2/reviews,Got the tires for my Mazda 3 here. The people at Super Miler know cars and are patient in explaining to clueless girls like me :)
LLumar Window Film,"2/F, 150, Bayani Street near G. Araneta Avenue, Barangay Dona Imelda, Quezon City 1113  Metro Manila",+63(02)84006357,5.0  (4),https://www.yellow-pages.ph/business/llumar-window-film-1/reviews,excellent quality... very great.
V-Tech Barcode Systems,"Unit 205, 2/F, The Tower At Emerald Square, J.P. Rizal Street corner P. Tuazon, Project 4, Milagrosa, Quezon City 1109  Metro Manila",+63(02)89127250,5.0  (4),https://www.yellow-pages.ph/business/v-tech-barcode-systems-philippines-incorporated/reviews,"Good day Sir/Mam. Interesado po kami bumili ng barcode scanner para po sa library system namin. Im an OJT from STI College - Lipa Campus. Please paki-contact po ako. Name: Rhobin Lising Mobile: 0905-1389-791; 0907-2244-416 Address: Lipa City, Batangas Purpose: Gagawa po kami ng library system with barcode technology para sa OJT company namin na Saint Francis de Sales Thelogical Seminary. Thank you po."
Excelsior Tours And Transport,"Unit 103, Canary Luxureville Condominium, Matthew Street, Multinational Village, Paranaque City 1708  Metro Manila",+63(2)88468428,5.0  (4),https://www.yellow-pages.ph/business/excelsior-tours-and-transport-corporation/reviews,perfect for travel and tour get aways plus offers affordable prices
Rey-D Enterprise,"Calendola Village, Nueve De Pebrero corner Shaw Boulevard, Addition Hills, Mandaluyong City, Metro Manila",+63(2)5325092,5.0  (4),https://www.yellow-pages.ph/business/rey-d-enterprise-inc/reviews, 
Braza Marketing,"G/F, Alcal Building (Ateneo near Mcdo), 285-A, Katipunan Avenue, Loyola Heights, Quezon City 1108  Metro Manila",+63(2)84264899,5.0  (4),https://www.yellow-pages.ph/business/braza-marketing-2/reviews,"We buy Motolite batteries for our company vehicles only from Braza Marketing. We trust them in keeping our vehicles in top condition, from supplying our auto parts requirements to their excellent car wash services."
Wescor Transformer,"10, Tikling Street, Vililia Village, Barangay Talipapa Novaliches, Quezon City, Metro Manila",+63(2)89306983,5.0  (4),https://www.yellow-pages.ph/business/wescor-transformer-corp/reviews,"Truly the number 1 transformer manufacturers in the country, winning almost all of the bidding in different places in the Philippines. They will give you the best value for your money."
Data Computer Forms,"86, Domingo M. Guevara Street, Mandaluyong City 1550 Metro Manila",+63(2)85310375,5.0  (4),https://www.yellow-pages.ph/business/data-computer-forms-incorporated/reviews,"Efficient Service, Competitive price !"
Victor Dy - The Feng Shui Master,"2655 Mercedes Street, Malate, City of Manila 1004 Metro Manila",+63(2)84006430,5.0  (4),https://www.yellow-pages.ph/business/new-world-consultants-inc/reviews,"Interesting book ""Feng Shui for Everybody""."
E-Wha Foam Philippines,"Lot 3 Plan PSU-222646, Cadena de Amor St., Brgy. San Miguel, Taguig City 1630 Metro Manila",+63(2)88861501,5.0  (3),https://www.yellow-pages.ph/business/e-wha-foam-philippines-inc/reviews,affordable product compare with leading brand with same quality
Intercool Cooling Tower,"13, St. Mary Street, Paradise Village, Project 8, Quezon City 1106  Metro Manila",+63(2)89242797,5.0  (3),https://www.yellow-pages.ph/business/intercool-cooling-tower-incorporated-2/reviews,Their team is very reliable and coordination with them is smooth. =)
